"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.11.2019","189,000","191,100","191,150","188,900","862,58K","-0,24%"
"14.11.2019","189,450","189,200","189,900","187,800","588,21K","0,32%"
"13.11.2019","188,850","187,000","189,750","185,100","726,95K","1,21%"
"12.11.2019","186,600","184,000","188,500","182,350","799,30K","1,55%"
"11.11.2019","183,750","184,200","184,550","182,750","579,56K","-0,19%"
"08.11.2019","184,100","182,900","185,400","182,600","767,66K","0,99%"
"07.11.2019","182,300","182,000","183,000","181,650","714,46K","0,22%"
"06.11.2019","181,900","181,100","182,050","180,350","662,23K","0,83%"
"05.11.2019","180,400","180,700","181,950","179,750","684,00K","0,33%"
"04.11.2019","179,800","178,550","180,800","177,450","635,60K","1,12%"
"01.11.2019","177,800","178,750","179,250","176,750","491,88K","0,31%"
"31.10.2019","177,250","179,500","179,500","176,150","800,51K","-0,25%"
"30.10.2019","177,700","179,200","179,400","176,550","491,98K","-1,58%"
"29.10.2019","180,550","177,900","180,650","177,000","686,36K","2,12%"
"28.10.2019","176,800","175,250","177,600","175,250","501,79K","0,51%"
"25.10.2019","175,900","175,700","176,000","174,200","579,54K","0,83%"
"24.10.2019","174,450","176,050","176,050","172,750","736,08K","-0,09%"
"23.10.2019","174,600","172,750","175,300","172,150","688,80K","1,33%"
"22.10.2019","172,300","174,050","174,550","172,050","700,91K","-1,23%"
"21.10.2019","174,450","176,600","176,650","174,100","629,95K","-0,80%"
"18.10.2019","175,850","178,150","178,200","175,050","934,07K","-0,82%"
"17.10.2019","177,300","177,400","179,800","176,850","849,16K","-0,67%"
"16.10.2019","178,500","177,850","181,100","177,500","854,72K","0,22%"
"15.10.2019","178,100","177,100","179,450","176,800","1,06M","1,19%"
"14.10.2019","176,000","176,850","177,350","175,100","488,95K","-0,87%"
"11.10.2019","177,550","172,000","177,650","171,650","1,08M","1,78%"
"10.10.2019","174,450","171,000","174,500","169,600","1,24M","3,01%"
"09.10.2019","169,350","168,850","171,050","167,900","667,57K","0,77%"
"08.10.2019","168,050","171,900","172,800","168,050","709,43K","-2,47%"
"07.10.2019","172,300","167,550","172,300","167,500","556,30K","2,13%"
"04.10.2019","168,700","166,200","169,850","166,150","816,88K","1,26%"
"02.10.2019","166,600","172,150","172,350","166,600","1,15M","-4,58%"
"01.10.2019","174,600","177,950","178,900","174,600","677,26K","-1,91%"
"30.09.2019","178,000","176,200","178,000","175,400","594,10K","1,08%"
