"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.11.2019","118,87","120,68","121,00","118,38","10,15M","-1,48%"
"14.11.2019","120,65","124,60","125,38","119,51","22,51M","-0,27%"
"13.11.2019","120,98","119,16","121,36","118,66","8,05M","1,56%"
"12.11.2019","119,12","119,60","120,00","118,81","5,07M","0,07%"
"11.11.2019","119,04","118,70","119,63","118,28","4,44M","-0,33%"
"08.11.2019","119,44","120,31","120,88","118,94","3,83M","-0,66%"
"07.11.2019","120,23","120,00","120,92","119,54","4,44M","0,61%"
"06.11.2019","119,50","118,83","119,62","118,71","3,61M","0,54%"
"05.11.2019","118,86","117,68","119,14","117,08","4,22M","1,10%"
"04.11.2019","117,57","118,40","119,11","117,17","4,65M","-0,04%"
"01.11.2019","117,62","117,92","117,97","117,23","3,76M","0,31%"
"31.10.2019","117,26","117,93","118,28","116,83","4,88M","-0,71%"
"30.10.2019","118,10","117,18","118,37","117,05","3,00M","0,81%"
"29.10.2019","117,15","118,50","118,73","117,08","4,79M","-1,74%"
"28.10.2019","119,22","119,25","119,70","118,53","3,40M","0,15%"
"25.10.2019","119,04","119,00","119,33","118,20","2,56M","-0,05%"
"24.10.2019","119,10","119,15","119,57","118,51","2,92M","-0,21%"
"23.10.2019","119,35","119,17","119,85","118,69","2,87M","-0,19%"
"22.10.2019","119,58","119,75","120,17","119,39","2,60M","-0,13%"
"21.10.2019","119,74","119,30","119,83","118,82","3,47M","0,50%"
"18.10.2019","119,14","120,45","120,60","119,13","5,59M","-0,58%"
"17.10.2019","119,84","119,67","120,25","119,36","3,96M","0,35%"
"16.10.2019","119,42","119,31","120,11","119,10","4,14M","-0,09%"
"15.10.2019","119,53","119,33","119,99","118,87","5,39M","0,30%"
"14.10.2019","119,17","119,85","120,46","119,10","4,60M","-0,89%"
"11.10.2019","120,24","119,92","120,71","118,72","6,15M","0,53%"
"10.10.2019","119,61","118,90","119,88","118,60","4,44M","0,57%"
"09.10.2019","118,93","118,18","119,30","118,02","3,93M","1,15%"
"08.10.2019","117,58","116,81","118,67","116,66","5,55M","0,30%"
"07.10.2019","117,23","118,10","118,30","116,88","4,75M","-0,79%"
"04.10.2019","118,16","116,40","118,30","116,19","4,87M","1,59%"
"03.10.2019","116,31","115,88","116,80","114,58","5,37M","0,16%"
"02.10.2019","116,12","117,40","117,55","115,61","6,01M","-1,47%"
"01.10.2019","117,85","118,85","119,11","117,72","3,74M","-0,70%"
"30.09.2019","118,68","118,67","119,44","118,56","3,60M","0,19%"
"27.09.2019","118,45","119,21","119,23","117,75","3,44M","0,13%"
"26.09.2019","118,30","118,80","119,55","118,19","3,99M","-0,14%"
"25.09.2019","118,47","118,47","118,72","117,81","5,34M","0,06%"
"24.09.2019","118,40","118,25","119,86","118,01","7,71M","0,66%"
"23.09.2019","117,62","116,61","118,41","116,56","5,91M","0,55%"
"20.09.2019","116,98","117,35","117,64","116,80","11,59M","-0,11%"
"19.09.2019","117,11","117,40","117,81","116,77","3,40M","-0,04%"
"18.09.2019","117,16","116,91","117,23","116,18","4,12M","0,56%"
"17.09.2019","116,51","115,32","116,69","115,25","4,78M","0,81%"
